Date,CUSIP,Name,MV%
2024-10-04,N07059210,ASML Holding NV,0.01840537290952959
2024-10-04,00724F101,Adobe Inc.,0.021395507823922685
2024-10-04,007903107,Advanced Micro Devices Inc.,0.022484865664152434
2024-10-04,02079K305,Alphabet Inc,0.029697690870516446
2024-10-04,023135106,Amazon.com Inc.,0.027723035195937024
2024-10-04,031100100,Ametek Inc,0.01605959678326789
2024-10-04,037833100,Apple Inc,0.03006726465220632
2024-10-04,09260D107,Blackstone Inc,0.016936156936491687
2024-10-04,09857L108,Booking Holdings Inc,0.021029188075203827
2024-10-04,81369Y852,Communication Services Select Sector SPDR Fund,0.004289859960212174
2024-10-04,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002587367987736507
2024-10-04,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015546343385271274
2024-10-04,22160K105,Costco Wholesale Corp,0.014190958306349165
2024-10-04,22788C105,Crowdstrike Holdings Inc,0.009685689398104911
2024-10-04,23804L103,Datadog Inc,0.011829253487828102
2024-10-04,81369Y506,Energy Select Sector SPDR Fund,0.00046791788925842177
2024-10-04,81369Y605,Financial Select Sector SPDR Fund,0.0061435941626587064
2024-10-04,369604301,GE Aerospace,0.018601137139995894
2024-10-04,36828A101,GE Vernova Inc.,0.014670717260029904
2024-10-04,38141G104,"Goldman Sachs Group, Inc.",0.01740566166898906
2024-10-04,81369Y209,Health Care Select Sector SPDR Fund,0.006701058218489957
2024-10-04,437076102,"Home Depot, Inc.",0.01599501828942948
2024-10-04,45168D104,"Idexx Laboratories, Inc.",0.0129529494105514
2024-10-04,81369Y704,Industrial Select Sector SPDR Fund,0.004899488976696102
2024-10-04,46137V357,Invesco S&P 500 Equal Weight ETF,0.1407845815102553
2024-10-04,46625H100,JPMorgan Chase & Co.,0.01633438178970941
2024-10-04,548661107,"Lowe`s Cos., Inc.",0.017748701021328847
2024-10-04,81369Y100,Materials Select Sector SPDR Fund,0.0015293151498853485
2024-10-04,580135101,McDonald`s Corp,0.018609613695019164
2024-10-04,30303M102,Meta Platforms Inc,0.028130492349128997
2024-10-04,594918104,Microsoft Corporation,0.02799675561134481
2024-10-04,000496514,Moncler SpA,0.006523135931150236
2024-10-04,682189105,ON Semiconductor Corp.,0.015447718064976839
2024-10-04,743315103,Progressive Corp.,0.027185396637281048
2024-10-04,81369Y860,Real Estate Select Sector SPDR Fund,8.741698450537245e-05
2024-10-04,75886F107,"Regeneron Pharmaceuticals, Inc.",0.018309720409480285
2024-10-04,776696106,Roper Technologies Inc,0.019152695728583444
2024-10-04,78409V104,S&P Global Inc,0.025205026318379065
2024-10-04,79466L302,Salesforce Inc,0.018206766421869462
2024-10-04,81762P102,ServiceNow Inc,0.018433092449653077
2024-10-04,824348106,Sherwin-Williams Co.,0.02162867334693242
2024-10-04,863667101,Stryker Corp.,0.007054823827660137
2024-10-04,81369Y803,Technology Select Sector SPDR Fund,0.03665505440203226
2024-10-04,CASHUSD,U.S. Dollar,0.09373366428569953
2024-10-04,907818108,Union Pacific Corp.,0.01823198517739485
2024-10-04,91324P102,Unitedhealth Group Inc,0.026382915950706104
2024-10-04,81369Y886,Utilities Select Sector SPDR Fund,0.00016332433387251458
2024-10-04,92826C839,Visa Inc,0.013956688019059147
2024-10-04,929160109,Vulcan Materials Co,0.01842815114032672
2024-10-04,931142103,Walmart Inc,0.018046505298046828
