Date,CUSIP,Type,Name,MV%
2024-12-13,02079K305,SELL,Alphabet Inc,0.010567732689486665
2024-12-13,023135106,SELL,Amazon.com Inc.,0.011059482575874146
2024-12-13,037833100,SELL,Apple Inc,0.00983412805229297
2024-12-13,125523100,BUY,Cigna Group (The),-0.002729567298241375
2024-12-13,22160K105,SELL,Costco Wholesale Corp,0.007767345781250497
2024-12-13,22788C105,SELL,Crowdstrike Holdings Inc,0.004613523773950466
2024-12-13,23804L103,SELL,Datadog Inc,0.007031492530707136
2024-12-13,45168D104,SELL,"Idexx Laboratories, Inc.",0.011269275085044918
2024-12-13,30303M102,SELL,Meta Platforms Inc,0.004225676973938234
2024-12-13,594918104,SELL,Microsoft Corporation,0.006077095915760862
2024-12-13,79466L302,SELL,Salesforce Inc,0.006278474174555742
